Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.95120,0.63593,73.600,9.975
2,0.91575,0.40762,83.200,9.838
3,0.91159,0.72098,56.700,9.807
4,0.92159,0.69259,59.700,9.985
5,0.93672,0.43766,81.100,10.056
6,0.93847,0.22640,93.000,9.927
7,0.94756,0.33252,84.100,9.575
8,0.92465,0.71865,64.400,9.725
9,0.93535,0.48722,74.100,9.793
10,0.93960,0.74312,74.700,9.870
11,0.93662,0.99047,72.400,9.853
12,0.94233,0.75146,66.700,10.125
13,0.92521,0.63256,77.300,10.158
14,0.92297,0.47710,81.900,10.096
15,0.92818,0.34975,86.500,9.799
16,0.93242,0.32102,84.100,9.866
17,0.93343,0.34422,86.700,10.111
18,0.90905,0.21730,93.300,10.082
19,0.96011,0.59217,77.900,10.150
20,0.92854,0.21593,94.400,9.874
21,0.92907,0.26947,89.600,9.721
22,0.92891,0.28064,89.200,10.081
23,0.95953,0.43137,77.800,9.798
24,0.94705,0.32124,87.900,10.003
25,0.95128,0.26973,89.900,10.035
26,0.94959,1.52882,58.000,10.033
27,0.95272,0.20784,94.100,9.985
28,0.92230,0.21683,93.600,9.990
29,0.91409,0.86913,67.600,9.862
30,0.96502,0.30626,85.500,10.031
31,0.94291,0.20886,95.100,10.033
32,0.97319,0.64257,72.100,9.980
33,0.97268,0.24063,90.700,9.996
34,0.92820,0.24236,91.800,10.037
35,0.98759,0.25822,90.700,10.038
36,0.93212,0.34481,83.200,10.041
37,0.93162,0.30645,85.300,9.846
38,0.93808,1.01579,70.600,9.888
39,0.92922,0.96182,66.400,10.037
40,0.95298,0.40427,79.400,10.037
41,0.97383,0.70180,71.500,10.023
42,0.93898,0.21189,94.800,9.905
43,0.98264,0.31992,84.100,9.279
44,0.93810,0.30098,85.200,9.683
45,0.90698,0.86781,68.000,10.002
46,0.94970,1.79310,57.500,10.000
47,0.99745,0.49288,81.100,10.002
48,0.97648,0.36598,85.900,9.950
49,0.93702,0.22030,93.200,9.866
50,0.88898,0.91096,72.300,9.873
51,0.96016,0.22255,93.100,9.735
52,0.90984,0.27738,87.000,10.037
53,0.94018,0.53954,74.500,9.871
54,0.96549,0.32580,87.500,9.960
55,0.93598,0.20582,94.900,9.696
56,0.92244,0.96635,72.600,9.872
57,0.98354,0.21975,93.900,9.963
58,0.92890,0.23712,92.500,9.962
59,0.95363,0.21254,93.500,9.882
60,0.93612,0.24075,92.400,9.682
61,0.92563,0.23838,91.000,9.959
62,0.97753,0.23759,91.900,9.909
63,0.96908,0.84981,68.400,9.696
64,0.93065,1.35763,68.100,9.687
65,0.97273,0.80231,69.400,9.698
66,0.98863,0.20391,94.800,9.696
67,0.90788,0.24949,91.600,9.689
68,0.92448,0.22120,93.500,9.759
69,0.96886,0.35330,82.600,10.041
70,0.96738,0.25642,89.800,10.040
71,0.97968,0.23930,92.800,10.013
72,0.97793,0.30032,88.700,9.775
73,0.95289,1.14824,69.800,10.043
74,0.92892,0.29418,85.600,10.036
75,0.95039,0.20226,94.600,9.803
76,0.99844,0.23797,90.800,9.688
77,0.95982,0.20736,94.200,9.724
78,0.93819,0.22750,92.400,9.684
79,0.93246,0.24221,91.800,9.685
80,0.94932,0.25950,89.800,9.693
81,0.92830,0.73400,71.200,9.688
82,0.92146,0.20594,94.500,9.695
83,0.98599,0.57876,74.200,9.685
84,0.93408,0.21798,94.200,9.687
85,0.96602,0.72031,75.300,9.891
86,0.93463,0.33825,83.500,9.839
87,0.94185,0.20184,94.500,9.835
88,0.96708,0.48266,80.500,10.055
89,0.96874,0.51900,79.900,9.921
90,0.95852,0.22893,92.400,9.684
91,0.96853,0.47264,77.500,9.676
92,0.96194,0.38053,81.200,9.670
93,0.97166,0.60307,78.700,9.563
94,1.00705,0.36210,81.700,9.930
95,0.92709,0.31705,84.700,10.032
96,0.89773,0.23465,92.500,10.034
97,0.95700,1.81239,57.600,10.032
98,0.99175,0.21282,94.200,9.608
99,0.95655,0.30514,85.200,9.702
100,0.98077,0.94545,72.000,10.040
