Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.69103,0.69198,50.607,397.057
2,0.69264,0.68668,54.879,396.599
3,0.69549,0.68458,55.418,393.407
4,0.70637,0.68750,54.105,396.616
5,0.70481,0.68419,55.744,395.806
6,0.71260,0.68257,56.276,388.235
7,0.69725,0.68303,55.858,372.157
8,0.69850,0.68308,56.116,372.074
9,0.70628,0.68726,54.257,372.088
10,0.70085,0.68709,54.508,384.116
11,0.71541,0.68675,54.637,388.591
12,0.69555,0.68300,56.465,385.147
13,0.79020,0.68765,55.494,391.944
14,0.68518,0.67457,58.142,379.929
15,0.69007,0.68314,55.980,372.356
16,0.68230,0.67695,58.120,383.636
17,0.67542,0.66429,60.419,379.592
18,0.67189,0.66418,59.098,372.704
19,0.66963,0.65972,61.785,377.302
20,0.66736,0.65857,61.276,389.907
21,0.67019,0.65903,62.938,380.537
22,0.66871,0.65953,62.415,385.921
23,0.66473,0.65176,62.756,372.482
24,0.68763,0.66372,59.781,372.583
25,0.68725,0.65207,62.270,379.753
26,0.65643,0.63926,63.667,382.617
27,0.63874,0.62425,64.001,377.960
28,0.61978,0.59839,66.497,372.901
29,0.61170,0.59026,66.110,372.308
30,0.60648,0.55622,71.202,373.636
31,0.60141,0.56136,70.823,375.648
32,0.59681,0.55207,71.498,377.224
33,0.59298,0.54292,72.636,387.435
34,0.58966,0.54418,73.494,386.426
35,0.58924,0.54317,73.600,391.586
36,0.58896,0.53125,74.359,388.125
37,0.59127,0.53944,73.380,382.872
38,0.61109,0.53461,73.714,393.407
39,0.58224,0.52695,75.102,392.289
40,0.58005,0.55448,69.745,387.483
41,0.58834,0.71461,49.598,393.393
42,0.57737,0.53011,74.169,390.130
43,0.57937,0.50815,75.816,386.204
44,0.57100,0.51184,76.210,389.629
45,0.56891,0.50800,74.662,388.090
46,0.56860,0.50614,75.201,395.378
47,0.57042,0.50797,76.317,390.692
48,0.57024,0.53861,74.063,388.563
49,0.56682,0.51991,75.383,388.224
50,0.56036,0.62821,69.669,386.184
51,0.56251,0.56925,68.106,394.480
52,0.56444,0.49894,77.053,373.637
53,0.55845,0.49499,76.241,374.299
54,0.56049,0.50060,76.188,375.861
55,0.56095,0.48887,77.349,372.316
56,0.55653,0.49976,76.484,373.971
57,0.55924,0.49565,75.960,372.796
58,0.55849,0.62019,64.046,376.300
59,0.55419,0.49429,77.250,373.582
60,0.56177,0.49406,77.189,372.284
61,0.56898,0.54513,72.120,372.284
62,0.56384,0.49245,77.417,372.244
63,0.55522,0.51652,76.036,372.254
64,0.54940,0.49453,76.711,372.997
65,0.55537,0.49097,77.250,372.542
66,0.55598,0.56367,70.185,372.505
67,0.57398,0.51028,73.623,372.522
68,0.58175,0.54564,72.151,376.019
69,0.61434,0.68086,55.099,376.036
70,0.67455,0.66480,58.969,375.606
71,0.66586,0.64595,63.310,373.743
72,0.65799,0.63768,63.591,376.731
73,0.65271,0.63473,63.136,373.066
74,0.65240,0.63241,64.494,374.414
75,0.65155,0.64428,61.458,375.545
76,0.65092,0.63045,64.737,372.452
77,0.65030,0.63369,63.044,372.429
78,0.65045,0.65936,56.450,374.153
79,0.64964,0.66025,62.915,377.806
80,0.65053,0.63943,61.223,378.093
81,0.64921,0.62760,64.706,378.690
82,0.64806,0.63835,61.739,375.031
83,0.64892,0.65189,59.129,375.467
84,0.64865,0.63982,61.633,375.730
85,0.64919,0.63133,63.219,373.850
86,0.64912,0.62498,65.222,372.214
87,0.64934,0.63390,64.668,381.472
88,0.64908,0.66574,55.244,376.679
89,0.64924,0.64385,61.140,374.527
90,0.64952,0.63215,63.583,375.255
91,0.64868,0.64071,61.299,372.316
92,0.64847,0.62644,65.078,375.373
93,0.64903,0.62417,64.593,374.699
94,0.65037,0.63690,62.020,376.293
95,0.64835,0.63067,63.075,374.039
96,0.64865,0.64487,60.267,377.728
97,0.64956,0.62517,64.904,381.278
98,0.64858,0.63033,62.688,377.461
99,0.64964,0.63676,63.970,376.196
100,0.64925,0.62775,64.456,375.802
