Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.66266,0.64824,58.033,90.205
2,0.62577,0.60977,67.400,90.133
3,0.62569,0.61055,69.400,89.660
4,0.66356,0.67816,62.100,90.771
5,0.71994,0.51066,77.200,89.840
6,0.72276,0.62601,74.367,90.692
7,0.71576,0.58649,71.567,90.504
8,0.71940,0.50880,75.400,90.173
9,0.76729,0.60290,67.933,89.778
10,0.79645,0.70511,55.600,89.159
11,0.94027,0.67546,59.067,90.269
12,0.76466,0.59987,68.633,90.215
13,0.72039,0.74301,51.333,90.679
14,0.78882,0.60240,65.967,89.471
15,2.03125,0.63403,66.500,89.966
16,0.70355,0.64928,63.600,89.784
17,0.66713,0.63350,64.167,89.710
18,0.66996,0.56579,73.367,90.259
19,0.68926,0.70373,58.033,90.427
20,0.77203,3.96978,51.067,90.525
21,0.86828,0.63900,65.967,90.283
22,0.69135,0.63134,66.700,90.296
23,0.67779,0.64783,64.900,90.318
24,0.68655,0.69087,54.700,87.658
25,0.72608,0.64415,65.300,84.690
26,0.71778,0.64500,63.600,84.675
27,0.67755,0.64357,63.000,84.692
28,0.69682,0.63435,67.033,84.679
29,0.82251,0.63627,66.233,84.668
30,0.72403,0.63910,65.400,84.683
31,0.72675,0.64151,64.433,84.715
32,0.77339,0.72639,49.900,84.757
33,0.70371,0.64354,65.900,84.699
34,0.71173,0.64178,64.500,84.673
35,1.01964,0.65605,62.867,84.683
36,0.94350,0.71318,54.600,84.675
37,0.79215,0.70604,52.033,84.858
38,1.15645,0.64565,65.400,85.674
39,0.78825,0.66070,59.200,90.251
40,0.70532,0.63576,66.900,90.732
41,0.71127,0.66224,62.667,89.589
42,0.72253,0.64660,62.300,86.438
43,0.72458,0.64136,65.233,85.635
44,0.69198,0.67335,55.833,88.700
45,0.69163,0.68708,53.033,87.994
46,1.13596,0.66569,62.333,87.994
47,0.88457,0.68611,59.733,87.986
48,0.68167,0.64453,64.833,87.914
49,0.70802,0.66039,59.267,87.863
50,0.69580,0.66459,61.600,87.908
51,1.38394,0.64073,63.867,87.217
52,0.77229,0.63823,66.900,86.934
53,0.68183,0.72328,52.900,86.936
54,0.71831,0.65866,62.867,86.931
55,1.17215,0.83553,60.633,87.564
56,0.82802,0.78510,58.967,87.880
57,0.72529,0.63651,66.667,87.858
58,2.13100,0.63864,65.467,87.973
59,0.68030,0.69668,59.867,88.017
60,0.68585,0.70988,51.300,88.001
61,0.68501,0.74107,51.233,87.980
62,0.68735,0.66828,56.300,87.883
63,0.67463,0.63784,66.067,86.957
64,0.74688,0.63074,67.867,89.468
65,0.71782,0.63601,66.800,87.391
66,0.74917,0.64019,63.700,87.917
67,0.69619,0.74834,55.433,88.959
68,0.77650,0.66018,63.200,87.879
69,0.91705,0.63183,67.300,90.354
70,1.31821,0.65371,64.400,89.738
71,0.69644,0.65815,57.733,89.006
72,0.70445,0.64177,62.133,88.306
73,0.70344,0.65789,62.733,86.965
74,0.68857,0.67029,57.900,86.952
75,0.88808,0.67578,62.600,86.927
76,1.13315,0.83221,55.867,87.416
77,0.71268,0.70227,54.233,90.240
78,0.69286,0.66072,63.767,90.707
79,0.74066,0.63938,63.533,90.723
80,0.73901,0.63844,64.133,90.719
81,4.02392,0.67245,61.800,90.699
82,0.67577,0.61441,67.667,88.316
83,0.62036,0.53123,75.000,89.726
84,0.62148,0.62217,65.833,87.863
85,0.66065,0.61164,67.500,90.073
86,0.63358,0.73232,53.400,87.675
87,0.68155,0.58321,71.233,86.953
88,0.67886,0.76237,50.100,86.927
89,0.65896,0.67928,56.400,87.686
90,0.69047,0.61646,68.067,89.313
91,0.71978,0.61638,70.300,89.477
92,0.69159,0.62743,67.600,90.722
93,2.12597,0.65653,64.633,90.723
94,0.65164,0.65702,60.500,88.118
95,0.66364,0.74690,58.367,87.909
96,0.71784,0.61865,66.667,87.245
97,0.67896,0.63293,62.100,87.924
98,0.78470,0.64849,58.500,87.904
99,0.69429,0.62413,66.600,87.942
100,0.67732,0.65659,64.533,87.942
