Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.65156,0.60310,76.300,30.179
2,0.34505,0.59790,68.800,30.222
3,0.19716,0.09978,98.700,30.482
4,0.06974,0.04014,100.000,30.641
5,0.04489,0.02907,99.900,30.576
6,0.04200,0.02112,99.900,30.086
7,0.15635,0.65478,52.100,30.300
8,0.63672,0.48547,74.500,30.044
9,0.25738,0.05696,100.000,30.196
10,0.05847,0.06553,98.500,30.188
11,0.02318,0.00489,100.000,30.124
12,0.14181,0.02662,99.800,30.308
13,0.01444,0.00274,100.000,30.230
14,0.00860,0.00227,100.000,30.248
15,0.00608,0.00112,100.000,30.392
16,0.00283,0.00226,100.000,30.353
17,0.09064,0.11788,98.700,30.406
18,0.00838,0.00115,100.000,30.072
19,0.31625,0.33297,78.000,30.385
20,0.20398,0.18492,98.600,30.154
21,0.08577,0.04467,99.200,30.126
22,0.04591,0.00037,100.000,29.911
23,0.00228,0.00032,100.000,30.061
24,0.00218,0.00011,100.000,30.411
25,0.02110,0.00047,100.000,29.980
26,0.00870,0.00023,100.000,30.259
27,0.00442,0.00018,100.000,30.348
28,0.00194,0.00009,100.000,29.937
29,0.00752,0.00017,100.000,30.368
30,0.59719,0.11989,99.400,30.416
31,0.44810,0.11628,97.300,30.278
32,0.30445,0.23933,92.800,30.250
33,0.12353,0.01099,99.700,30.397
34,0.02195,0.00738,100.000,30.278
35,0.01347,0.00338,100.000,30.396
36,0.01532,0.00767,100.000,29.966
37,0.00973,0.00158,100.000,29.763
38,0.00713,0.00115,100.000,30.405
39,0.00530,0.00163,100.000,30.290
40,0.00802,0.00204,100.000,29.922
41,0.00541,0.00070,100.000,30.393
42,0.00399,0.00061,100.000,30.290
43,0.00925,0.00156,100.000,30.200
44,0.00810,0.00177,100.000,30.171
45,0.00485,0.00091,100.000,30.264
46,0.00432,0.00132,100.000,30.403
47,0.00499,0.00162,100.000,30.340
48,0.00539,0.00198,100.000,30.391
49,0.00331,0.00087,100.000,30.386
50,0.00334,0.00029,100.000,30.282
51,0.00296,0.00026,100.000,30.391
52,0.00681,0.00090,100.000,30.371
53,0.00337,0.00046,100.000,30.398
54,0.00449,0.00222,100.000,30.376
55,0.00270,0.00036,100.000,30.366
56,0.00240,0.00036,100.000,30.264
57,0.00198,0.00030,100.000,30.255
58,0.01793,0.00067,100.000,30.380
59,0.00406,0.00081,100.000,30.293
60,0.00233,0.00058,100.000,29.851
61,0.00193,0.00098,100.000,30.092
62,0.00127,0.00074,100.000,30.082
63,0.00174,0.00033,100.000,30.177
64,0.00108,0.00020,100.000,30.210
65,0.00176,0.00034,100.000,30.250
66,0.00131,0.00038,100.000,30.128
67,0.00179,0.00030,100.000,29.704
68,0.00113,0.00032,100.000,28.722
69,0.00138,0.00027,100.000,28.724
70,0.00226,0.00013,100.000,28.722
71,0.00182,0.00045,100.000,28.713
72,0.00131,0.00013,100.000,28.712
73,0.00120,0.00100,100.000,28.729
74,0.00085,0.00033,100.000,28.710
75,0.00135,0.00025,100.000,28.712
76,0.00079,0.00056,100.000,28.704
77,0.00047,0.00029,100.000,28.712
78,0.00041,0.00012,100.000,28.707
79,0.00076,0.00015,100.000,28.592
80,0.01648,0.01700,99.400,28.447
81,0.00654,0.00025,100.000,28.696
82,0.00171,0.00028,100.000,28.711
83,0.00182,0.00063,100.000,28.706
84,0.00120,0.00240,100.000,28.701
85,0.00096,0.00019,100.000,28.705
86,0.00092,0.00112,100.000,28.705
87,0.00067,0.00019,100.000,28.703
88,0.00079,0.00012,100.000,28.710
89,0.00095,0.00012,100.000,28.725
90,0.00100,0.00058,100.000,28.703
91,0.00148,0.00015,100.000,28.708
92,0.00130,0.00010,100.000,28.704
93,0.00024,0.00014,100.000,28.707
94,0.00030,0.00016,100.000,28.705
95,0.00073,0.00020,100.000,28.697
96,0.00299,0.00024,100.000,28.699
97,0.00032,0.00019,100.000,28.717
98,0.00024,0.00006,100.000,28.715
99,0.00136,0.00015,100.000,28.718
100,0.00086,0.00078,100.000,28.711
