Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.65934,0.53629,98.600,30.042
2,0.29642,0.15451,98.200,30.126
3,0.12302,0.06131,99.700,30.000
4,0.05925,0.03796,99.800,30.191
5,0.03868,0.02520,100.000,30.134
6,0.10671,0.02352,99.800,30.142
7,0.04801,0.01930,99.800,30.142
8,0.01645,0.01399,100.000,30.139
9,0.01286,0.01246,99.800,30.140
10,0.01815,0.01129,100.000,30.129
11,0.02737,0.01134,99.800,30.116
12,0.01066,0.00823,100.000,30.131
13,0.00953,0.00828,100.000,30.126
14,0.00785,0.00657,100.000,30.129
15,0.00776,0.01060,99.800,30.129
16,0.08258,0.42629,82.000,30.126
17,0.11514,0.31684,88.300,30.116
18,0.21664,0.17214,94.300,29.930
19,0.01191,0.00962,99.800,29.955
20,0.00886,0.01002,99.800,29.546
21,0.00623,0.00520,100.000,29.566
22,0.00518,0.00474,100.000,29.825
23,0.07471,0.00449,100.000,30.102
24,0.03717,0.00419,100.000,29.907
25,0.02246,0.18602,94.000,30.119
26,0.00959,0.00411,100.000,30.012
27,0.00459,0.00356,100.000,30.128
28,0.02132,0.00460,100.000,29.903
29,0.00486,0.00491,99.800,30.109
30,0.00567,0.00338,100.000,29.981
31,0.00368,0.00468,99.800,30.078
32,0.00343,0.00309,100.000,30.145
33,0.00334,0.00294,100.000,30.063
34,0.00299,0.00281,100.000,29.957
35,0.00284,0.00277,100.000,30.093
36,0.00275,0.00255,100.000,29.957
37,0.00289,0.00251,100.000,29.076
38,0.00259,0.00239,100.000,29.983
39,0.00242,0.00254,100.000,29.545
40,0.00237,0.00232,100.000,29.683
41,0.00222,0.00211,100.000,29.898
42,0.05440,0.00255,100.000,29.885
43,0.00213,0.00197,100.000,29.966
44,0.00204,0.00199,100.000,29.737
45,0.00192,0.00202,100.000,29.899
46,0.00185,0.00184,100.000,30.060
47,0.00191,0.00181,100.000,29.803
48,0.00184,0.00171,100.000,30.091
49,0.00176,0.00176,100.000,29.759
50,0.00167,0.00164,100.000,29.963
51,0.00196,0.00161,100.000,30.077
52,0.00166,0.00155,100.000,30.041
53,0.00160,0.00152,100.000,29.910
54,0.00158,0.00195,100.000,30.023
55,0.00164,0.00151,100.000,30.082
56,0.00146,0.00145,100.000,30.156
57,0.00155,0.00142,100.000,29.950
58,0.00147,0.00153,100.000,29.471
59,0.00139,0.00142,100.000,30.084
60,0.00135,0.00132,100.000,29.733
61,0.00131,0.00129,100.000,29.615
62,0.00134,0.00125,100.000,30.148
63,0.00126,0.00146,100.000,29.992
64,0.00597,0.00119,100.000,29.900
65,0.00139,0.00150,100.000,29.774
66,0.00199,0.00116,100.000,29.815
67,0.00628,0.01310,99.800,29.974
68,0.00266,0.00140,100.000,29.627
69,0.00121,0.00114,100.000,29.187
70,0.00131,0.00134,100.000,29.197
71,0.00128,0.00143,100.000,29.188
72,0.00121,0.00110,100.000,29.187
73,0.00112,0.00113,100.000,29.181
74,0.00118,0.00106,100.000,29.196
75,0.00114,0.00103,100.000,29.181
76,0.00121,0.00104,100.000,29.180
77,0.00110,0.00099,100.000,29.193
78,0.00097,0.00098,100.000,29.222
79,0.00102,0.00110,100.000,29.221
80,0.00101,0.00096,100.000,29.225
81,0.00105,0.00095,100.000,29.220
82,0.00104,0.00092,100.000,29.208
83,0.00091,0.00089,100.000,29.176
84,0.08780,1.05502,48.200,29.006
85,0.30637,0.00100,100.000,28.973
86,0.00109,0.00093,100.000,28.988
87,0.00102,0.00097,100.000,28.992
88,0.00115,0.00099,100.000,28.988
89,0.00109,0.00099,100.000,28.987
90,0.00095,0.00114,100.000,29.003
91,0.00103,0.00092,100.000,29.117
92,0.00093,0.00095,100.000,28.964
93,0.00092,0.00088,100.000,28.966
94,0.00097,0.00091,100.000,28.977
95,0.00092,0.00085,100.000,28.966
96,0.00094,0.00085,100.000,28.961
97,0.00087,0.00085,100.000,28.965
98,0.00092,0.00084,100.000,29.655
99,0.00095,0.00089,100.000,30.124
100,0.00090,0.00112,100.000,29.440
