Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.16825,0.07222,100.000,10.189
2,0.05003,0.03626,100.000,10.160
3,0.02918,0.02393,100.000,10.161
4,0.02044,0.01779,100.000,10.153
5,0.01583,0.01413,100.000,10.145
6,0.01284,0.01170,100.000,10.155
7,0.01082,0.00999,100.000,10.146
8,0.00932,0.00870,100.000,10.150
9,0.00821,0.00771,100.000,10.159
10,0.00733,0.00692,100.000,10.157
11,0.00659,0.00628,100.000,10.158
12,0.00603,0.00574,100.000,10.083
13,0.00554,0.00529,100.000,10.024
14,0.00512,0.00491,100.000,10.094
15,0.00476,0.00457,100.000,9.938
16,0.00443,0.00428,100.000,9.993
17,0.00416,0.00403,100.000,10.080
18,0.00392,0.00380,100.000,10.145
19,0.00372,0.00359,100.000,9.952
20,0.00353,0.00341,100.000,10.073
21,0.00335,0.00324,100.000,9.976
22,0.00318,0.00309,100.000,9.990
23,0.00305,0.00296,100.000,9.774
24,0.00293,0.00283,100.000,9.774
25,0.00279,0.00272,100.000,9.849
26,0.00269,0.00261,100.000,10.009
27,0.00257,0.00252,100.000,10.117
28,0.00248,0.00242,100.000,9.885
29,0.00239,0.00234,100.000,9.769
30,0.00232,0.00226,100.000,9.765
31,0.00224,0.00218,100.000,9.766
32,0.00216,0.00211,100.000,9.768
33,0.00210,0.00205,100.000,9.833
34,0.00204,0.00198,100.000,10.148
35,0.00197,0.00193,100.000,10.140
36,0.00191,0.00187,100.000,10.151
37,0.00187,0.00182,100.000,10.148
38,0.00181,0.00177,100.000,10.158
39,0.00177,0.00173,100.000,10.147
40,0.00173,0.00168,100.000,10.159
41,0.00169,0.00164,100.000,10.163
42,0.00165,0.00160,100.000,10.145
43,0.00160,0.00157,100.000,10.150
44,0.00157,0.00153,100.000,10.145
45,0.00155,0.00150,100.000,10.155
46,0.00150,0.00147,100.000,10.148
47,0.00147,0.00143,100.000,10.145
48,0.00143,0.00140,100.000,10.151
49,0.00140,0.00137,100.000,10.158
50,0.00138,0.00135,100.000,10.155
51,0.00136,0.00132,100.000,10.137
52,0.00132,0.00130,100.000,10.152
53,0.00129,0.00127,100.000,10.148
54,0.00127,0.00125,100.000,10.137
55,0.00125,0.00122,100.000,10.152
56,0.00123,0.00120,100.000,10.151
57,0.00120,0.00118,100.000,10.151
58,0.00118,0.00116,100.000,10.140
59,0.00116,0.00114,100.000,10.150
60,0.00114,0.00112,100.000,10.140
61,0.00112,0.00110,100.000,10.158
62,0.00111,0.00108,100.000,10.141
63,0.00109,0.00106,100.000,10.153
64,0.00107,0.00105,100.000,10.143
65,0.00105,0.00103,100.000,10.131
66,0.00104,0.00101,100.000,10.143
67,0.00102,0.00100,100.000,10.150
68,0.00101,0.00098,100.000,10.149
69,0.00098,0.00097,100.000,10.158
70,0.00097,0.00095,100.000,10.087
71,0.00096,0.00094,100.000,10.142
72,0.00095,0.00093,100.000,10.148
73,0.00093,0.00091,100.000,10.144
74,0.00092,0.00090,100.000,10.046
75,0.00091,0.00089,100.000,9.971
76,0.00090,0.00088,100.000,9.937
77,0.00088,0.00086,100.000,9.930
78,0.00087,0.00085,100.000,10.094
79,0.00086,0.00084,100.000,10.142
80,0.00085,0.00083,100.000,10.062
81,0.00083,0.00082,100.000,9.776
82,0.00082,0.00081,100.000,9.895
83,0.00081,0.00080,100.000,9.828
84,0.00080,0.00079,100.000,9.608
85,0.00080,0.00078,100.000,9.791
86,0.00079,0.00077,100.000,9.872
87,0.00078,0.00076,100.000,10.025
88,0.00077,0.00075,100.000,10.142
89,0.00076,0.00074,100.000,10.001
90,0.00075,0.00073,100.000,10.087
91,0.00074,0.00072,100.000,9.776
92,0.00073,0.00071,100.000,9.813
93,0.00072,0.00071,100.000,10.123
94,0.00072,0.00070,100.000,9.912
95,0.00070,0.00069,100.000,9.826
96,0.00070,0.00068,100.000,10.111
97,0.00069,0.00068,100.000,9.999
98,0.00068,0.00067,100.000,10.151
99,0.00068,0.00066,100.000,9.753
100,0.00067,0.00065,100.000,9.935
