Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,0.66089,0.60283,67.500,90.644
2,0.65306,0.60871,68.200,91.383
3,0.64967,0.65305,59.067,89.482
4,0.67609,0.72466,72.200,89.516
5,0.66233,0.61217,65.333,89.695
6,0.66171,0.69205,51.533,90.017
7,0.69110,0.67704,51.400,89.768
8,0.68493,0.66874,57.267,89.742
9,0.67822,0.61881,67.300,89.970
10,0.67413,0.69186,51.733,89.500
11,0.67682,0.62569,65.400,89.769
12,0.67778,0.69179,51.733,89.341
13,0.67516,0.58759,70.900,89.658
14,0.67570,0.69258,51.733,90.077
15,0.69332,0.69286,51.733,90.262
16,0.69332,0.69283,51.733,89.574
17,0.69335,0.69270,51.733,89.603
18,0.69336,0.69288,51.733,89.919
19,0.69333,0.69343,48.267,90.270
20,0.69332,0.69411,48.267,90.282
21,0.69333,0.69291,51.733,90.294
22,0.69329,0.69285,51.733,90.195
23,0.69324,0.69299,51.733,89.559
24,0.69334,0.69294,51.733,87.490
25,0.69322,0.69264,51.733,87.146
26,0.69326,0.69262,51.733,85.793
27,0.69334,0.69274,51.733,85.706
28,0.69333,0.69277,51.733,85.685
29,0.69326,0.69365,48.267,85.678
30,0.69333,0.69298,51.733,85.057
31,0.69332,0.69308,51.733,84.406
32,0.69321,0.69256,51.733,84.392
33,0.69324,0.69342,48.267,84.414
34,0.69333,0.69261,51.733,84.385
35,0.69329,0.69259,51.733,86.050
36,0.69327,0.69410,48.267,90.243
37,0.69331,0.69314,51.733,88.421
38,0.69333,0.69328,48.267,90.290
39,0.69324,0.69278,51.733,88.511
40,0.69330,0.69256,51.733,87.441
41,0.69329,0.69291,51.733,87.462
42,0.69328,0.69265,51.733,87.448
43,0.69328,0.69354,48.267,87.920
44,0.69334,0.69314,51.667,89.460
45,0.69333,0.69290,51.733,87.511
46,0.69323,0.69390,48.300,84.370
47,0.69326,0.69418,48.267,84.347
48,0.69322,0.69378,48.300,84.357
49,0.69330,0.69290,51.733,84.321
50,0.69328,0.69263,51.733,84.309
51,0.69330,0.69304,51.833,84.384
52,0.69333,0.69308,51.867,84.344
53,0.69333,0.69291,51.867,84.356
54,0.69320,0.69250,51.733,84.344
55,0.69328,0.69275,51.767,84.331
56,0.69326,0.69303,51.800,84.327
57,0.69366,0.69234,51.800,84.325
58,0.69333,0.69258,51.800,84.339
59,0.69319,0.69268,51.733,84.341
60,0.69318,0.69235,51.767,84.325
61,0.69278,0.69303,48.967,84.343
62,0.69230,0.69261,48.967,84.315
63,0.68988,0.68501,51.967,84.330
64,0.68803,0.68269,53.433,84.348
65,0.69036,0.68065,52.833,84.349
66,0.69141,0.69459,48.267,84.345
67,0.69337,0.69350,48.267,84.356
68,0.69334,0.69308,51.733,84.309
69,0.69327,0.69345,48.267,84.332
70,0.69334,0.69273,51.733,84.334
71,0.69323,0.69283,51.733,85.007
72,0.69333,0.69286,51.733,84.943
73,0.69333,0.69293,51.733,85.298
74,0.69328,0.69263,51.733,85.322
75,0.69325,0.69315,48.267,85.316
76,0.69335,0.69350,48.267,85.315
77,0.69329,0.69345,48.267,85.698
78,0.69331,0.69315,51.733,87.491
79,0.69328,0.69255,51.733,87.606
80,0.69336,0.69330,48.267,89.086
81,0.69323,0.69278,51.733,87.442
82,0.69327,0.69313,51.733,84.322
83,0.69326,0.69377,48.267,84.344
84,0.69335,0.69295,51.733,84.329
85,0.69326,0.69260,51.733,84.344
86,0.69328,0.69266,51.733,84.316
87,0.69325,0.69373,48.267,84.318
88,0.69333,0.69324,48.267,84.317
89,0.69333,0.69299,51.733,84.301
90,0.69333,0.69311,51.733,84.331
91,0.69325,0.69259,51.733,84.315
92,0.69331,0.69290,51.733,84.311
93,0.69333,0.69279,51.733,85.073
94,0.69326,0.69360,48.267,85.270
95,0.69332,0.69284,51.733,85.299
96,0.69330,0.69472,48.267,85.315
97,0.69336,0.69342,48.267,85.274
98,0.69329,0.69304,51.733,85.663
99,0.69328,0.69309,51.733,90.286
100,0.69332,0.69330,48.267,88.171
